letter,state,sweep,no_of_APs,AP_frequency,cell,sex,X,Y,age,animal,synapses,treatment,category,R_a,notes,days_alone,animal_or_slicing_problems
RMR7,Baseline,1,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,Baseline,2,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,Baseline,3,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,Baseline,4,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,Baseline,5,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,Baseline,6,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,Baseline,7,4,8,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,Baseline,8,7,14,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,Baseline,9,9,18,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,Baseline,10,11,22,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,1,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,2,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,3,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,4,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,5,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,6,0,0,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,7,3,6,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,8,3,6,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,9,8,16,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
RMR7,HFS,10,3,6,6.2.1,Female,156.99,574.41,30,NA,Glutamate,Control,3,"1.9, 2.1, 2.1, 2.1, 2.0",,NA,
