letter,state,time_of_threshold,threshold,t11,ID,first_sweep_with_APs,trace_start,peak_amplitude,time_to_peak,antipeak_amplitude,time_of_antipeak,half_width,ap_notes
RMA1,baseline,340.2999878,-36.89575195,15.86333084,2025_05_14_0003.abf,5,4021,87.82958984,340.8500061,-15.71655273,342.8500061,0.873584032,
RMA1,HFS,349.75,-42.41943359,10.37851048,2025_05_14_0013.abf,5,4021,64.48364258,350.5499878,-18.18847656,353.5,0.990335524,
RMA2,baseline,372.9500122,-23.40698242,12.82051277,2025_05_14_0015.abf,5,4021,55.60302734,373.7999878,-15.19775391,375.3500061,1.03161478,
RMA2,HFS,,,,,,,,,,,,
RMA3,baseline,448,-32.86743164,10.98901081,2025_05_16_0003.abf,5,4021,76.29394531,448.8500061,-14.28222656,451.3500061,0.981035173,
RMA3,HFS,452.0499878,-30.05981445,10.98230648,2025_05_16_0012.abf,6,5021,69.79370117,453.2000122,-10.71166992,456.0499878,1.051688671,
RMA4,baseline,509.6499939,-33.203125,13.42281914,2025_05_16_0014.abf,4,3021,55.11474609,510.3999939,-28.3203125,539.9000244,0.857778966,
RMA4,HFS,,,,,,,,,,,,
RMA6,baseline,354.0499878,-841.0644531,24.40512466,25606013.abf,6,5021,1442.871094,366.25,-93.99414063,369.3999939,1.071789384,
RMA6,HFS,,,,,,,,,,,,
RMA8,baseline,308,-20.62988281,12.21001244,25611018.abf,9,8021,45.16601563,308.8999939,-41.96166992,315.7999878,0.930327237,
RMA8,HFS,306.1000061,-15.38085938,10.37851048,25611027.abf,9,8021,30.45654297,306.8500061,-44.79980469,314.0499878,0.983338118,
RMA9,baseline,378.75,-24.99389648,14.65201473,25617007.abf,5,4021,82.18383789,379.6000061,-19.43969727,381.8500061,0.861000776,
RMA9,HFS,326.1499939,-27.19116211,17.69371605,25617017.abf,6,5021,72.08251953,326.8999939,-24.07836914,329.3500061,0.785008669,
RMA10,baseline,393.8500061,-40.61889648,11.59951115,25617019.abf,5,4021,66.43676758,394.6000061,-13.00048828,397.2000122,1.08830595,
RMA10,HFS,343.8500061,-34.4543457,11.59951115,25617028.abf,7,6021,57.03735352,344.7000122,-17.27294922,347.75,1.096972942,
RMA1A,baseline,,,,,,,,,,,,
RMA1A,HFS,704.2000122,-14.16015625,10.37851048,25617042.abf,10,9021,43.42651367,705.75,-34.75952148,713.0999756,1.671439409,
RMA2A,baseline,375.9500122,-814.2089844,12.21001244,25619001.abf,6,5021,1727.294922,406.0499878,-194.0917969,451.5499878,1.23645103,
RMA2A,HFS,304,-731.8115234,61.05006027,25619010.abf,10,9021,1123.657227,350.9500122,-213.0126953,357.1499939,1.524897814,
RMA3A,baseline,374.2999878,-31.43310547,10.37217808,25620001.abf,7,6021,60.42480469,375.1499939,-14.40429688,379.7999878,1.400211215,
RMA3A,HFS,322.7999878,-39.15405273,12.20256233,25620011.abf,8,7021,64.60571289,323.6499939,-18.58520508,335.6499939,1.286399722,
RMA4A,baseline,361.3500061,-25.45166016,16.48351669,25620013.abf,6,5021,61.21826172,362.0499878,-14.3737793,364.6499939,1.041712284,
RMA4A,HFS,398.5,-24.35302734,13.43101311,25620023.abf,6,5021,50.5065918,399.2999878,-15.41137695,401.8999939,0.995914996,
RMA5A,baseline,650.2000122,-26.67236328,20.14652061,25620031.abf,5,4021,51.54418945,650.9500122,-24.78027344,657.5,1.221465349,
RMA5A,HFS,546.2999878,-29.14428711,16.48351669,25620040.abf,6,5021,52.79541016,547.2000122,-25.17700195,552.5999756,1.350230098,
RMA6A,baseline,484.2999878,-25.05493164,10.98230648,25620042.abf,7,6021,58.83789063,485.1000061,-28.41186523,489.25,0.924283743,
RMA6A,HFS,435.2999878,-33.69140625,12.81269073,25620051.abf,6,5021,46.23413086,436.1499939,-22.70507813,441.7999878,0.978848219,
