letter,ID,P1,P2
RMR6,ConcatenateRMR6,-63.25169754,-49.2136116
RMR6,ConcatenateRMR6,-30.37302208,-59.66989517
RMR6,ConcatenateRMR6,-46.05744934,-17.98127747
RMR6,ConcatenateRMR6,-50.73949051,-26.93577766
RMR6,ConcatenateRMR6,-54.4256897,-36.11514282
RMR6,ConcatenateRMR6,-104.3701172,-30.51757813
RMR6,ConcatenateRMR6,-48.57113647,-65.05062866
RMR6,ConcatenateRMR6,-51.80760574,-23.1210804
RMR6,ConcatenateRMR6,-32.99913788,-34.83019257
RMR6,ConcatenateRMR6,-46.45899582,-57.44532394
RMR6,ConcatenateRMR6,-73.45902252,-38.0586319
RMR6,ConcatenateRMR6,-57.42926407,-30.57379532
RMR6,ConcatenateRMR6,-76.85610962,-41.45571899
RMR6,ConcatenateRMR6,-46.82841873,-71.85283661
RMR6,ConcatenateRMR6,-39.19099426,-35.52888489
RMR6,ConcatenateRMR6,-36.04286575,-52.52235794
RMR6,ConcatenateRMR6,-48.89237213,-36.68534088
RMR6,ConcatenateRMR6,-41.58421707,-42.19456863
RMR6,ConcatenateRMR6,-44.60385132,-51.92807007
RMR6,ConcatenateRMR6,-58.17613983,-46.57946014
RMR6,ConcatenateRMR6,-38.46017838,-47.61545181
RMR6,ConcatenateRMR6,-72.71214294,-58.06370926
RMR6,ConcatenateRMR6,-61.62141418,-37.81770325
RMR6,ConcatenateRMR6,-80.79127502,-60.64966965
RMR6,ConcatenateRMR6,-60.86650467,-61.47685623
RMR6,ConcatenateRMR6,-50.20141602,-60.57739258
RMR6,ConcatenateRMR6,-50.49856186,-36.46047592
RMR6,ConcatenateRMR6,-80.17288971,-55.75882721
RMR6,ConcatenateRMR6,-101.9929581,-51.94412994
RMR6,ConcatenateRMR6,-109.5741653,-33.89057541
RMR6,ConcatenateRMR6,-51.6068306,-30.24452591
RMR6,ConcatenateRMR6,-63.21154022,-38.79747772
RMR6,ConcatenateRMR6,-80.43791199,-22.45451355
RMR6,ConcatenateRMR6,-32.20407486,-23.04880333
RMR6,ConcatenateRMR6,-35.7216301,-49.14936447
RMR6,ConcatenateRMR6,-62.68952942,-55.36531067
RMR6,ConcatenateRMR6,-39.19099426,-33.08747864
RMR6,ConcatenateRMR6,-52.25733566,-47.37452316
RMR6,ConcatenateRMR6,-38.484272,-31.77040482
RMR6,ConcatenateRMR6,-31.2644558,-72.76836395
RMR6,ConcatenateRMR6,-39.17493439,-32.4610672
RMR6,ConcatenateRMR6,-32.38878632,-58.02355194
RMR6,ConcatenateRMR6,-42.48368073,-44.92508698
RMR6,ConcatenateRMR6,-50.39415741,-41.23888397
RMR6,ConcatenateRMR6,-79.22524261,-36.50062943
RMR6,ConcatenateRMR6,-49.69546509,-38.0987854
RMR6,ConcatenateRMR6,-46.27428436,-41.39147186
RMR6,ConcatenateRMR6,-60.72998047,-47.30224609
RMR6,ConcatenateRMR6,-61.4126091,-26.62257195
RMR6,ConcatenateRMR6,-61.58126068,-40.82930756
RMR6,ConcatenateRMR6,-34.28408813,-55.64639282
RMR6,ConcatenateRMR6,-49.90427017,-62.11130142
RMR6,ConcatenateRMR6,-49.52681732,-33.04732513
RMR6,ConcatenateRMR6,-65.9260025,-36.01877213
RMR6,ConcatenateRMR6,-78.20530701,-51.96019363
RMR6,ConcatenateRMR6,-61.21183777,-30.08390808
RMR6,ConcatenateRMR6,-37.247509,-40.29926682
RMR6,ConcatenateRMR6,-93.12680054,-37.58480835
RMR6,ConcatenateRMR6,-77.8760376,-58.34479141
RMR6,ConcatenateRMR6,-57.84687424,-44.41913986
RMR6,ConcatenateRMR6,-54.31325912,-20.74392128
RMR6,ConcatenateRMR6,-67.46794128,-18.02946472
RMR6,ConcatenateRMR6,-101.0854645,-21.73975945
RMR6,ConcatenateRMR6,-79.46616364,-32.46909714
RMR6,ConcatenateRMR6,-55.50183868,-20.10144615
RMR6,ConcatenateRMR6,-86.26034546,-22.17342949
RMR6,ConcatenateRMR6,-58.61784363,-29.32096863
RMR6,ConcatenateRMR6,-40.82930756,-24.96016693
RMR6,ConcatenateRMR6,-45.80849075,-46.41884232
RMR6,ConcatenateRMR6,-88.52507019,-31.15202332
RMR6,ConcatenateRMR6,-83.4896698,-37.71330261
RMR6,ConcatenateRMR6,-89.71364594,-55.53396225
RMR6,ConcatenateRMR6,-31.99527168,-71.66812134
RMR6,ConcatenateRMR6,-58.32872772,-25.36974525
RMR6,ConcatenateRMR6,-33.32840729,-24.78348541
RMR6,ConcatenateRMR6,-54.36947632,-54.36947632
RMR6,ConcatenateRMR6,-82.87931824,-33.44084167
RMR6,ConcatenateRMR6,-34.38849258,-17.29864883
RMR6,ConcatenateRMR6,-32.983078,-22.60710144
RMR6,ConcatenateRMR6,-65.98221588,-33.02323151
RMR6,ConcatenateRMR6,-53.26120377,-36.78171158
RMR6,ConcatenateRMR6,-32.62971497,-30.18830872
RMR6,ConcatenateRMR6,-64.06282043,-19.50715637
RMR6,ConcatenateRMR6,-67.58037567,-44.38701248
RMR6,ConcatenateRMR6,-64.20737457,-50.16929245
RMR6,ConcatenateRMR6,-44.78052902,-52.71509933
RMR6,ConcatenateRMR6,-60.52117538,-47.09344101
RMR6,ConcatenateRMR6,-39.11871719,-25.08063126
RMR6,ConcatenateRMR6,-37.32781601,-33.05535507
RMR6,ConcatenateRMR6,-48.9646492,-41.03007889
RMR6,ConcatenateRMR6,-39.94590378,-42.99766159
RMR6,ConcatenateRMR6,-25.06456947,-64.73741913
RMR6,ConcatenateRMR6,-31.1118679,-101.3022995
RMR6,ConcatenateRMR6,-28.23679161,-61.19577408
RMR6,ConcatenateRMR6,-40.92567825,-26.27724075
RMR6,ConcatenateRMR6,-26.53423119,-36.91020584
RMR6,ConcatenateRMR6,-27.80311966,-18.03749466
RMR6,ConcatenateRMR6,-23.43428802,-16.11006927
RMR6,ConcatenateRMR6,-23.90811348,-14.14248848
RMR6,ConcatenateRMR6,-22.77575111,-10.56871891
RMR6,ConcatenateRMR6,-23.24957657,-12.26324749
RMR6,ConcatenateRMR6,-20.78407669,-6.135639191
RMR6,ConcatenateRMR6,-30.21240234,-16.78466797
RMR6,ConcatenateRMR6,-29.32096863,-22.60710144
RMR6,ConcatenateRMR6,-31.05565071,-18.84861946
RMR6,ConcatenateRMR6,-32.54137421,-24.6068058
RMR6,ConcatenateRMR6,-31.69812584,-93.95398712
RMR6,ConcatenateRMR6,-27.02411842,-25.19306374
RMR6,ConcatenateRMR6,-62.69755936,-23.63506126
RMR6,ConcatenateRMR6,-23.6029377,-26.65469551
RMR6,ConcatenateRMR6,-63.31594467,-23.03273964
RMR6,ConcatenateRMR6,-37.66511536,-18.74421692
RMR6,ConcatenateRMR6,-31.8828373,-27.61037636
RMR6,ConcatenateRMR6,-35.35220337,-18.87271309
RMR6,ConcatenateRMR6,-35.98664856,-26.22102356
RMR6,ConcatenateRMR6,-33.83435822,-19.79627037
RMR6,ConcatenateRMR6,-22.10918236,-16.00566673
RMR6,ConcatenateRMR6,-32.13982773,-20.54314804
RMR6,ConcatenateRMR6,-28.06814003,-18.30251503
RMR6,ConcatenateRMR6,-27.99586296,-26.77515984
RMR6,ConcatenateRMR6,-30.02769089,-14.76890182
RMR6,ConcatenateRMR6,-24.43815613,-18.94499207
RMR6,ConcatenateRMR6,-25.19306374,-22.75165749
RMR6,ConcatenateRMR6,-22.93636894,-20.49496269
RMR6,ConcatenateRMR6,-23.62702942,-15.0821085
RMR6,ConcatenateRMR6,-26.6145401,-18.67996979
RMR6,ConcatenateRMR6,-25.12078476,-19.6276207
RMR6,ConcatenateRMR6,-25.36171341,-13.76503372
RMR6,ConcatenateRMR6,-18.27039146,-7.284063816
RMR6,ConcatenateRMR6,-19.29032135,-12.57645416
RMR6,ConcatenateRMR6,-28.96760559,-18.59162903
RMR6,ConcatenateRMR6,-24.76742363,-14.39144707
RMR6,ConcatenateRMR6,-25.43399239,-16.27871895
RMR6,ConcatenateRMR6,-23.88401985,-9.845934868
RMR6,ConcatenateRMR6,-31.91496277,-18.48722839
RMR6,ConcatenateRMR6,-27.53809929,-16.55177116
RMR6,ConcatenateRMR6,-24.94410515,-68.88941956
RMR6,ConcatenateRMR6,-30.45333099,-20.07735443
RMR6,ConcatenateRMR6,-41.00598907,-44.66809845
RMR6,ConcatenateRMR6,-31.28854942,-36.17136002
RMR6,ConcatenateRMR6,-19.44290924,-40.19486237
RMR6,ConcatenateRMR6,-31.32067299,-14.23082829
RMR6,ConcatenateRMR6,-24.56665039,-27.6184082
RMR6,ConcatenateRMR6,-33.15172577,-38.64488983
RMR6,ConcatenateRMR6,-35.23173904,-46.82841873
RMR6,ConcatenateRMR6,-44.25851822,-27.77902794
RMR6,ConcatenateRMR6,-60.18387604,-16.23856354
RMR6,ConcatenateRMR6,-40.54019165,-20.398592
RMR6,ConcatenateRMR6,-36.34804153,-82.12441254
RMR6,ConcatenateRMR6,-30.26861954,-60.1758461
RMR6,ConcatenateRMR6,-26.56635475,-63.18745041
RMR6,ConcatenateRMR6,-28.95957565,-11.8697319
RMR6,ConcatenateRMR6,-35.96255493,-60.37661743
RMR6,ConcatenateRMR6,-56.02384949,-45.03752136
RMR6,ConcatenateRMR6,-44.94115067,-18.08568001
RMR6,ConcatenateRMR6,-31.37688828,-60.67376328
RMR6,ConcatenateRMR6,-24.01251602,-12.41583538
RMR6,ConcatenateRMR6,-21.4426136,-10.45628643
RMR6,ConcatenateRMR6,-20.26206589,-15.37925339
RMR6,ConcatenateRMR6,-23.65112305,-13.88549805
RMR6,ConcatenateRMR6,-24.96819687,-13.9818697
RMR6,ConcatenateRMR6,-21.51489258,-14.19067383
RMR6,ConcatenateRMR6,-18.28645325,-15.84504795
RMR6,ConcatenateRMR6,-24.34178352,-21.29002571
RMR6,ConcatenateRMR6,-30.59788704,-15.33909893
RMR6,ConcatenateRMR6,-15.99763584,-31.25642395
RMR6,ConcatenateRMR6,-32.79033279,-18.75224876
RMR6,ConcatenateRMR6,-46.35459518,-11.56455612
RMR6,ConcatenateRMR6,-23.06486511,-40.76506042
RMR6,ConcatenateRMR6,-29.65826797,-21.1133461
RMR6,ConcatenateRMR6,-21.76385117,-18.10174179
RMR6,ConcatenateRMR6,-37.42418671,-16.06188393
RMR6,ConcatenateRMR6,-17.84475136,-9.910181999
RMR6,ConcatenateRMR6,-20.20584869,-9.219520569
RMR6,ConcatenateRMR6,-23.91614342,-17.81262779
RMR6,ConcatenateRMR6,-23.22548294,-16.51161575
RMR6,ConcatenateRMR6,-25.91584778,-16.15022278
RMR6,ConcatenateRMR6,-12.00625801,-2.240632772
RMR6,ConcatenateRMR6,-10.32779121,-3.613923788
RMR6,ConcatenateRMR6,-9.107088089,-7.886384487
RMR6,ConcatenateRMR6,-13.48395061,-11.65289593
RMR6,ConcatenateRMR6,-10.44022369,-4.947060108
RMR6,ConcatenateRMR6,-9.886089325,-6.22397995
RMR6,ConcatenateRMR6,-7.332249641,-8.552952766
RMR6,ConcatenateRMR6,-10.01458454,-6.962826252
RMR6,ConcatenateRMR6,-13.74897194,-10.69721413
RMR6,ConcatenateRMR6,-19.67580605,-36.7656517
RMR6,ConcatenateRMR6,-11.12285423,-28.21269798
RMR6,ConcatenateRMR6,-11.27544212,-9.444387436
RMR6,ConcatenateRMR6,-11.99822712,-8.336117744
RMR6,ConcatenateRMR6,-10.47234821,-9.251645088
RMR6,ConcatenateRMR6,-15.72458363,-9.621068001
RMR6,ConcatenateRMR6,-29.80282402,-11.49227715
RMR6,ConcatenateRMR6,-16.10203743,-30.75047493
RMR6,ConcatenateRMR6,-11.21922588,-36.85399246
RMR6,ConcatenateRMR6,-39.96196365,-6.392629623
RMR6,ConcatenateRMR6,-7.500899315,-6.28019619
RMR6,ConcatenateRMR6,-9.878058434,-9.267706871
RMR6,ConcatenateRMR6,-15.30697441,-55.59017944
RMR6,ConcatenateRMR6,-55.86323166,-10.08686256
RMR6,ConcatenateRMR6,-26.56635475,-18.02143288
RMR6,ConcatenateRMR6,-13.18680573,-9.52469635
RMR6,ConcatenateRMR6,-12.40780449,-16.06991386
RMR6,ConcatenateRMR6,-12.29537201,-14.73677826
RMR6,ConcatenateRMR6,-14.48781872,-9.605006218
RMR6,ConcatenateRMR6,-4.706131935,-8.978592873
RMR6,ConcatenateRMR6,-12.60857868,-8.336117744
RMR6,ConcatenateRMR6,-13.24302292,-23.61899948
RMR6,ConcatenateRMR6,-13.36348724,-11.53243256
RMR6,ConcatenateRMR6,-10.16717243,-7.725765705
RMR6,ConcatenateRMR6,-18.54344368,-3.284655094
RMR6,ConcatenateRMR6,-4.674007893,-5.284359455
RMR6,ConcatenateRMR6,-19.17788887,-11.85367012
RMR6,ConcatenateRMR6,-9.388171196,-6.336412907
RMR6,ConcatenateRMR6,-15.74064541,-7.806075096
RMR6,ConcatenateRMR6,-14.1264267,-6.80220747
RMR6,ConcatenateRMR6,-14.54403496,-24.30965996
RMR6,ConcatenateRMR6,-7.637425423,-16.18234825
RMR6,ConcatenateRMR6,-8.488705635,-20.69573593
RMR6,ConcatenateRMR6,-12.94587803,-14.77693272
RMR6,ConcatenateRMR6,-7.412559032,-6.80220747
RMR6,ConcatenateRMR6,-11.41196823,-8.970561981
RMR6,ConcatenateRMR6,-10.70524502,-5.822432518
RMR6,ConcatenateRMR6,-11.40393734,-10.18323421
RMR6,ConcatenateRMR6,-12.37568092,-8.713571548
RMR6,ConcatenateRMR6,-14.31113815,-10.64902878
RMR6,ConcatenateRMR6,-7.717734814,-19.92476654
RMR6,ConcatenateRMR6,-11.41196823,-14.46372604
RMR6,ConcatenateRMR6,-12.47205257,-8.809943199
RMR6,ConcatenateRMR6,-12.02231979,-17.51548386
RMR6,ConcatenateRMR6,-14.66449928,-11.61274147
RMR6,ConcatenateRMR6,-13.18680573,-8.914344788
RMR6,ConcatenateRMR6,-11.54046345,-19.47503281
RMR6,ConcatenateRMR6,-19.83642578,-8.850097656
RMR6,ConcatenateRMR6,-11.04254436,-31.18414688
RMR6,ConcatenateRMR6,-11.37181377,-13.20286846
RMR6,ConcatenateRMR6,-10.84980202,-4.746286392
RMR6,ConcatenateRMR6,-8.834035873,-7.002981186
RMR6,ConcatenateRMR6,-26.79925156,-15.81292439
RMR6,ConcatenateRMR6,-8.328086853,-6.497031689
RMR6,ConcatenateRMR6,-13.53213692,-17.19424629
RMR6,ConcatenateRMR6,-19.69186974,-7.484837532
RMR6,ConcatenateRMR6,-11.66092682,-16.54373932
RMR6,ConcatenateRMR6,-12.18293858,-9.741532326
RMR6,ConcatenateRMR6,-9.797748566,-5.525287628
RMR6,ConcatenateRMR6,-10.64902878,-20.41465378
RMR6,ConcatenateRMR6,-14.43160248,-4.665977001
RMR6,ConcatenateRMR6,-10.48841,-8.047003746
RMR6,ConcatenateRMR6,-6.376567841,-6.376567841
RMR6,ConcatenateRMR6,-9.323923111,-7.492868423
RMR6,ConcatenateRMR6,-10.49644089,-6.834331512
RMR6,ConcatenateRMR6,-8.360210419,-11.41196823
RMR6,ConcatenateRMR6,-13.86140537,-5.92683506
RMR6,ConcatenateRMR6,-14.14248848,-12.92178535
RMR6,ConcatenateRMR6,-14.15051937,-12.31946468
RMR6,ConcatenateRMR6,-11.25134945,-9.420294762
RMR6,ConcatenateRMR6,-10.59281158,-11.81351471
RMR6,ConcatenateRMR6,-10.70524502,-8.874190331
RMR6,ConcatenateRMR6,-9.958367348,-16.06188393
RMR6,ConcatenateRMR6,-12.08656693,-8.42445755
RMR6,ConcatenateRMR6,-10.81767845,-16.31084251
RMR6,ConcatenateRMR6,-12.84950638,-6.135639191
RMR6,ConcatenateRMR6,-14.66449928,-12.22309303
RMR6,ConcatenateRMR6,-12.36765003,-9.926243782
RMR6,ConcatenateRMR6,-14.52797318,-11.47621536
RMR6,ConcatenateRMR6,-12.06247425,-3.517552376
RMR6,ConcatenateRMR6,-10.72933769,-0.96371299
RMR6,ConcatenateRMR6,-10.343853,-4.240337372
RMR6,ConcatenateRMR6,-15.03392315,-17.47532845
RMR6,ConcatenateRMR6,-13.71684837,-10.66509056
RMR6,ConcatenateRMR6,-26.08449745,-7.77395153
RMR6,ConcatenateRMR6,-9.693346977,-10.30369854
RMR6,ConcatenateRMR6,-11.62077236,-9.179366112
RMR6,ConcatenateRMR6,-15.07407761,-7.749858856
