letter,ID,P1,P2
RMA4,concatenate174,-108.2570953,-144.2678375
RMA4,concatenate174,-119.8055878,-105.7675018
RMA4,concatenate174,-79.06462097,-161.4620819
RMA4,concatenate174,-119.7814941,-52.0324707
RMA4,concatenate174,-110.3210449,-104.2175293
RMA4,concatenate174,-85.23238373,-132.839798
RMA4,concatenate174,-96.4596405,-147.7291718
RMA4,concatenate174,-97.98551941,-105.9200897
RMA4,concatenate174,-151.6161499,-107.6708374
RMA4,concatenate174,-78.34183502,-67.96585846
RMA4,concatenate174,-168.055481,-90.54083252
RMA4,concatenate174,-135.3133392,-77.32993317
RMA4,concatenate174,-97.91323853,-50.91616821
RMA4,concatenate174,-86.81447601,-108.1767807
RMA4,concatenate174,-106.538475,-79.68300629
RMA4,concatenate174,-50.22550964,-119.1952362
RMA4,concatenate174,-68.23088074,-128.6556854
RMA4,concatenate174,-77.28175354,-153.5756989
RMA4,concatenate174,-84.74249268,-98.17022705
RMA4,concatenate174,-151.0941315,-91.27968597
RMA4,concatenate174,-61.7980957,-130.1574707
RMA4,concatenate174,-55.3331871,-136.5099487
RMA4,concatenate174,-66.42391968,-123.186615
RMA4,concatenate174,-110.8591156,-120.014389
RMA4,concatenate174,-122.2148666,-61.1797142
RMA4,concatenate174,-135.7068481,-61.24396133
RMA4,concatenate174,-34.07528687,-46.89266968
RMA4,concatenate174,-96.4596405,-26.87956238
RMA4,concatenate174,-70.09405518,-42.62823868
RMA4,concatenate174,-141.505188,-45.67999649
RMA4,concatenate174,-68.67258453,-102.852272
RMA4,concatenate174,-98.5798111,-53.41379166
RMA4,concatenate174,-145.4965668,-64.93016052
RMA4,concatenate174,-126.73629,-85.84273529
RMA4,concatenate174,-92.05065155,-123.1785812
RMA4,concatenate174,-111.0438309,-66.48816681
RMA4,concatenate174,-133.3457489,-111.9834518
RMA4,concatenate174,-111.4373474,-75.42660522
RMA4,concatenate174,-69.30702972,-111.4212875
RMA4,concatenate174,-124.559906,-71.45932007
RMA4,concatenate174,-72.01345062,-65.909935
RMA4,concatenate174,-115.733902,-69.95753479
RMA4,concatenate174,-153.5596313,-27.82721329
RMA4,concatenate174,-83.36920166,-116.328186
RMA4,concatenate174,-136.8070831,-91.64107513
RMA4,concatenate174,-36.67731094,-131.2817993
RMA4,concatenate174,-92.99027252,-24.63089752
RMA4,concatenate174,-128.5111237,-80.90370941
RMA4,concatenate174,-108.281189,-72.88079834
RMA4,concatenate174,-118.7294388,-71.12201691
RMA4,concatenate174,-125.5958939,-76.1574173
RMA4,concatenate174,-94.85345459,-78.3739624
RMA4,concatenate174,-93.41591644,-83.65029144
RMA4,concatenate174,-131.0569305,-63.91826248
RMA4,concatenate174,-91.51258087,-32.30847931
RMA4,concatenate174,-104.225563,-115.2118912
RMA4,concatenate174,-127.4349823,-50.53068542
RMA4,concatenate174,-120.3597183,-110.5940933
RMA4,concatenate174,-104.6913528,-56.47358322
RMA4,concatenate174,-71.09792328,-55.83913803
RMA4,concatenate174,-149.6003876,-94.05838776
RMA4,concatenate174,-42.00182343,-37.72936249
RMA4,concatenate174,-33.24006653,-65.58869934
RMA4,concatenate174,-54.73086548,-38.86172485
RMA4,concatenate174,-33.01520157,-67.19488525
RMA4,concatenate174,-53.21302032,-34.29212189
RMA4,concatenate174,-138.5176849,-99.45517731
RMA4,concatenate174,-139.8668823,-77.00067139
RMA4,concatenate174,-122.8091583,-56.28083801
RMA4,concatenate174,-141.5292816,-65.84568787
RMA4,concatenate174,-144.2598114,-80.17288971
RMA4,concatenate174,-139.5938263,-101.7520294
RMA4,concatenate174,-187.7473602,-58.96317291
RMA4,concatenate174,-122.9938736,-93.08664703
RMA4,concatenate174,-157.5188904,-73.90072632
RMA4,concatenate174,-137.3692627,-78.77550507
RMA4,concatenate174,-179.7967224,-104.1131287
RMA4,concatenate174,-157.2378082,-97.4233551
RMA4,concatenate174,-127.4349823,-49.3099823
RMA4,concatenate174,-102.0973587,-28.24482155
RMA4,concatenate174,-107.63871,-71.62796783
RMA4,concatenate174,-119.0426483,-26.87956238
RMA4,concatenate174,-133.8516998,-42.29896927
RMA4,concatenate174,-122.7609711,-42.8049202
RMA4,concatenate174,-68.8412323,-76.77580261
RMA4,concatenate174,-113.6699448,-63.62112045
RMA4,concatenate174,-92.30764008,-66.67287445
RMA4,concatenate174,-102.2981339,-131.5950165
RMA4,concatenate174,-119.0265884,-66.53635406
RMA4,concatenate174,-142.0352325,-49.87214661
RMA4,concatenate174,-76.47866058,-108.8272934
RMA4,concatenate174,-99.53549194,-84.27670288
RMA4,concatenate174,-100.8766556,-95.38349152
RMA4,concatenate174,-104.4745178,-75.17764282
RMA4,concatenate174,-109.7990341,-54.25704193
RMA4,concatenate174,-81.5622406,-29.6823597
RMA4,concatenate174,-144.7737885,-81.90756989
RMA4,concatenate174,-37.08688736,-117.6532974
RMA4,concatenate174,-128.912674,-36.13923645
RMA4,concatenate174,-87.07949829,-66.93789673
RMA4,concatenate174,-65.08274841,-113.9108734
RMA4,concatenate174,-69.57204437,-78.72731781
RMA4,concatenate174,-113.774353,-69.21868896
RMA4,concatenate174,-120.1027298,-94.46796417
RMA4,concatenate174,-136.9998322,-30.79866028
RMA4,concatenate174,-145.9944916,-97.77671051
RMA4,concatenate174,-42.56399155,-125.5718002
RMA4,concatenate174,-72.27044678,-126.5917358
RMA4,concatenate174,-136.7830048,-47.06131744
RMA4,concatenate174,-95.62442017,-70.6000061
RMA4,concatenate174,-91.8498764,-84.52565765
RMA4,concatenate174,-101.8403702,-79.25736237
RMA4,concatenate174,-78.18924713,-114.1999893
RMA4,concatenate174,-97.95339203,-78.42214203
RMA4,concatenate174,-134.1408234,-26.10859108
RMA4,concatenate174,-57.48548126,-108.1446609
RMA4,concatenate174,-38.95006561,-104.8680344
RMA4,concatenate174,-50.25763321,-49.03693008
RMA4,concatenate174,-125.8609161,-30.64607239
RMA4,concatenate174,-40.49200821,-21.57110977
RMA4,concatenate174,-41.18266678,-23.48247337
RMA4,concatenate174,-43.02978516,-34.48486328
RMA4,concatenate174,-15.7486763,-32.22816849
RMA4,concatenate174,-22.95243073,-85.81864166
RMA4,concatenate174,-75.00899506,-24.34981537
RMA4,concatenate174,-46.49111938,-37.94619751
RMA4,concatenate174,-55.00391769,-25.7070446
RMA4,concatenate174,-42.62020874,-45.06161499
RMA4,concatenate174,-30.58182526,-34.85428619
RMA4,concatenate174,-37.37600327,-26.38967323
RMA4,concatenate174,-42.86916733,-25.16897011
RMA4,concatenate174,-42.19456863,-40.36351395
RMA4,concatenate174,-28.42150307,-30.86290932
RMA4,concatenate174,-28.36528587,-63.15532303
RMA4,concatenate174,-84.31685638,-38.5404892
RMA4,concatenate174,-40.92567825,-57.40517044
RMA4,concatenate174,-44.40307617,-71.86889648
RMA4,concatenate174,-59.71808243,-34.0833168
RMA4,concatenate174,-43.64816666,-55.24484634
RMA4,concatenate174,-49.66334152,-41.11841965
RMA4,concatenate174,-53.59850311,-36.50865936
RMA4,concatenate174,-16.90513229,-24.83970261
RMA4,concatenate174,-55.22075272,-24.09282494
RMA4,concatenate174,-41.7849884,-19.81233215
RMA4,concatenate174,-17.35486412,-18.57556725
RMA4,concatenate174,-62.67346954,-25.44202232
RMA4,concatenate174,-18.84058952,-44.47535324
RMA4,concatenate174,-57.12408829,-27.82721329
RMA4,concatenate174,-29.98753548,-22.05296516
RMA4,concatenate174,-17.70019531,-59.20410156
RMA4,concatenate174,-33.0392952,-33.0392952
RMA4,concatenate174,-48.2097435,-83.61013031
RMA4,concatenate174,-44.00152969,-18.97711563
RMA4,concatenate174,-35.26386642,-28.54999733
RMA4,concatenate174,-33.86648178,-24.10085487
RMA4,concatenate174,-13.70881748,-33.85041809
RMA4,concatenate174,-33.76207733,-25.82750893
RMA4,concatenate174,-26.75909805,-17.60382462
RMA4,concatenate174,-16.51161575,-41.53602982
RMA4,concatenate174,-42.78082657,-16.53570938
RMA4,concatenate174,-36.73352814,-72.74427032
RMA4,concatenate174,-23.73143196,-23.73143196
RMA4,concatenate174,-24.96819687,-21.91643906
RMA4,concatenate174,-51.00450897,-24.75939369
RMA4,concatenate174,-28.76683235,-28.76683235
RMA4,concatenate174,-46.0092659,-13.05028057
RMA4,concatenate174,-57.9753685,-17.0818119
RMA4,concatenate174,-64.31178284,-23.41822624
RMA4,concatenate174,-41.83317566,-30.23649597
RMA4,concatenate174,-97.43941498,-42.50777435
RMA4,concatenate174,-32.24423218,-21.86825371
RMA4,concatenate174,-21.03303528,-41.17463684
RMA4,concatenate174,-37.99438477,-24.56665039
RMA4,concatenate174,-40.67671967,-18.09371185
RMA4,concatenate174,-47.2058754,-24.01251602
RMA4,concatenate174,-29.35309219,-29.96344376
RMA4,concatenate174,-48.64341354,-80.38169098
RMA4,concatenate174,-51.90397644,-18.94499207
RMA4,concatenate174,-24.79151726,-19.90870476
RMA4,concatenate174,-32.17998123,-15.70049095
RMA4,concatenate174,-26.79122162,-18.85665131
RMA4,concatenate174,-39.7772522,-20.2460041
RMA4,concatenate174,-28.53393555,-41.35131836
RMA4,concatenate174,-19.28229141,-38.81354141
RMA4,concatenate174,-19.80430222,-33.84238815
RMA4,concatenate174,-16.134161,-35.6654129
RMA4,concatenate174,-28.95957565,-40.55625534
RMA4,concatenate174,-41.66452408,-39.22311783
RMA4,concatenate174,-38.29956055,-21.82006836
RMA4,concatenate174,-17.69216347,-17.69216347
RMA4,concatenate174,-37.5205574,-14.32719994
RMA4,concatenate174,-21.46670723,-21.46670723
RMA4,concatenate174,-15.33106709,-17.16212273
RMA4,concatenate174,-52.61872864,-48.3462677
RMA4,concatenate174,-32.19604492,-20.59936523
RMA4,concatenate174,-49.71955872,-23.47444153
RMA4,concatenate174,-33.55327225,-20.73589134
RMA4,concatenate174,-38.0024147,-18.47116661
RMA4,concatenate174,-21.82006836,-12.05444336
RMA4,concatenate174,-50.72342682,-14.71268463
RMA4,concatenate174,-18.11780357,-16.89710045
RMA4,concatenate174,-32.05148697,-55.85519791
RMA4,concatenate174,-43.07797241,-19.88461113
RMA4,concatenate174,-10.68918324,-16.18234825
RMA4,concatenate174,-20.17372513,-19.56337357
RMA4,concatenate174,-28.40544128,-18.63981628
RMA4,concatenate174,-22.51072884,-45.09373856
RMA4,concatenate174,-14.58419037,-19.46700287
RMA4,concatenate174,-47.36649323,-15.62821198
RMA4,concatenate174,-34.15559387,-14.62434483
RMA4,concatenate174,-35.68950272,-23.48247337
RMA4,concatenate174,-18.34267044,-26.27724075
RMA4,concatenate174,-63.82992554,-27.81918144
RMA4,concatenate174,-18.21417618,-21.87628555
RMA4,concatenate174,-27.79508972,-22.91227722
RMA4,concatenate174,-25.52233315,-13.31530094
