letter,ID,P1,P2,time,cell,sex,X,Y,age,animal,synapses,treatment,category,R_a,notes,days_alone,animal_or_slicing_problems
RMA3,2025_05_16_0004,-72.01,-47.59,0,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
RMA3,2025_05_16_0004,-66.28,-28.44,0.08,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
RMA3,2025_05_16_0004,-73.92,-44.02,0.17,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
RMA3,2025_05_16_0004,-78.41,-17.99,0.25,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
RMA3,2025_05_16_0004,-41.11,-19.75,0.33,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
RMA3,2025_05_16_0004,-43.15,-33.38,0.42,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
RMA3,2025_05_16_0004,-33.63,-45.23,0.5,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
RMA3,2025_05_16_0004,-59.08,-43.82,0.58,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
RMA3,2025_05_16_0004,-64.35,-35.06,0.67,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
RMA3,2025_05_16_0004,-51.45,-40.46,0.75,2.1.2,Female,154.36,558.85,32,2,Glutamate,Control,2,"1.5, 1.6, 1.6, 1.6, 1.6, 1.6","flow rate very low, suction stopping intermittently during all recording",1,NA
