letter,ID,amplitude,amplitude_se,time,num_events,frequency,cell,sex,X,Y,age,animal,synapses,treatment,category,R_a,notes,days_alone,animal_or_slicing_problems
RMA1,Concatenatte-RMA1,27.56,1.86,0,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.16,2.06,0.08,40,8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,31.17,2.55,0.17,47,9.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.36,1.77,0.25,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.56,1.51,0.33,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.44,1.61,0.42,45,9,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.6,1.93,0.5,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.09,1.35,0.58,46,9.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.36,1.77,0.67,37,7.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.71,1.51,0.75,48,9.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.61,1.43,0.83,49,9.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.18,1.74,0.92,47,9.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.25,1.46,1,48,9.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,27.36,2.14,1.08,46,9.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,24.38,1.03,1.17,47,9.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,25.4,1.25,1.25,50,10,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.17,1.12,1.33,52,10.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.77,1.38,1.42,44,8.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,26.93,1.51,1.5,49,9.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,30.68,2.08,1.58,41,8.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.78,1.32,1.67,47,9.4,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.69,1.84,1.75,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.67,1.6,1.83,46,9.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.23,1.51,1.92,49,9.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.8,1.74,2,43,8.6,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.88,1.95,2.08,40,8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,29.45,1.8,2.17,44,8.8,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
RMA1,Concatenatte-RMA1,28.12,1.62,2.25,46,9.2,1.1.3,Female,NA,NA,30,1,Glutamate,Control,2,"1.3, 1.4, 1.4, 1.4, 1.3, 1.4",,1,
